text,font_size,is_bold,is_italic,relative_font_size,x_position_normalized,is_centered,space_below,text_length,is_all_caps,starts_with_numbering,line_height,span_count,label
implementation and operational stages,11.039999961853027,0,0,1.1,0.213,0,0.0,37,0,0,714.6934814453125,1,Body
RFP: To Develop the Ontario Digital Library Business Plan,7.559999942779541,1,1,0.76,0.147,0,0.0,57,0,0,740.8800048828125,1,Body
March 2003,7.559999942779541,1,1,0.76,0.485,1,0.0,10,0,0,740.8800048828125,1,Body
6666,9.0,1,1,0.9,0.844,0,0.0,4,0,0,740.8798828125,1,Body
the marketing and communications plan for the ODL,11.039999961853027,0,0,1.1,0.216,0,0.0,49,0,0,82.20001220703125,1,Body
the commitment of all stakeholders to their responsibilities,11.039999961853027,0,0,1.1,0.216,0,0.0,60,0,0,94.796630859375,1,Body
The process of developing this business plan must be extremely consultative to ensure that,11.039999961853027,0,0,1.1,0.147,0,0.0,90,0,0,120.12237548828125,1,Body
all stakeholders are engaged in creating a synergistic ODL organization.,11.039999961853027,0,0,1.1,0.147,0,0.0,72,0,0,132.8404541015625,1,Body
The proposal must,11.039999961853027,1,1,1.1,0.696,0,0.0,17,0,0,132.8404541015625,1,Body
indicate how this consultative process will be approached.,11.039999961853027,1,1,1.1,0.147,0,0.0,58,0,0,145.43707275390625,1,Body
"The business plan for the ODL must address significant issues. There are, for example,",11.039999961853027,0,0,1.1,0.147,0,0.0,86,0,0,170.7628173828125,1,Body
enormous differences in the financial resources available to libraries mandated to provide,11.039999961853027,0,0,1.1,0.147,0,0.0,90,0,0,183.35943603515625,1,Body
"similar services. Some post-secondary and public libraries, particularly those in large urban",11.039999961853027,0,0,1.1,0.147,0,0.0,93,0,0,196.0775146484375,1,Body
"areas, have the facilities, funding and technological infrastructure necessary to service their",11.039999961853027,0,0,1.1,0.147,0,0.0,95,0,0,208.67413330078125,1,Body
"patrons with electronic services and resources.  Many others, particularly in rural regions, do",11.039999961853027,0,0,1.1,0.147,0,0.0,95,0,0,221.270751953125,1,Body
not.,11.039999961853027,0,0,1.1,0.147,0,0.0,4,0,0,233.98883056640625,1,Body
The proposal must indicate how these issues will be approached.,11.039999961853027,1,1,1.1,0.185,0,0.0,63,0,0,233.98883056640625,1,Body
Milestones,12.0,0,0,1.2,0.157,0,0.0,10,0,0,283.32000732421875,1,H3
1) A preliminary report will be issued during June 2003.,11.039999961853027,1,1,1.1,0.177,0,0.0,56,0,1,312.9599914550781,1,Body
"2) It is expected that an Interim Report, suitable for distribution to the broader library",11.039999961853027,1,1,1.1,0.177,0,0.0,90,0,1,337.5570983886719,1,Body
"community will be available by August 1, 2003 and that there will be an opportunity",11.039999961853027,1,1,1.1,0.206,0,0.0,83,0,0,350.2751770019531,1,Body
for responses to be evaluated.,11.039999961853027,1,1,1.1,0.206,0,0.0,30,0,0,362.871826171875,1,Body
3) The business plan must be completed and approved by the ODL Steering Committee,11.039999961853027,1,1,1.1,0.177,0,0.0,81,0,1,387.59039306640625,1,Body
"no later than September 30, 2003.",11.039999961853027,1,1,1.1,0.206,0,0.0,33,0,0,400.1870422363281,1,Body
Approach and Specific Proposal Requirements,12.0,0,0,1.2,0.163,0,0.0,43,0,0,436.79998779296875,1,H2
The firm/consultant,11.039999961853027,0,0,1.1,0.147,0,0.0,19,0,0,466.55999755859375,1,Body
(or proposed team of consultants),11.039999961853027,1,1,1.1,0.3,0,0.0,33,0,0,466.55999755859375,1,Body
will be expected to work closely with,11.039999961853027,0,0,1.1,0.563,0,0.0,37,0,0,466.55999755859375,1,Body
the ODL Steering Committee. Terms of reference for the Committee are in the appendix.,11.039999961853027,0,0,1.1,0.147,0,0.0,85,0,0,479.1566467285156,1,Body
"Given the consultative nature of this business planning process, the firm/consultant will also",11.039999961853027,0,0,1.1,0.147,0,0.0,94,0,0,491.8747253417969,1,Body
be expected to travel and communicate regularly with various stakeholders as well as with,11.039999961853027,0,0,1.1,0.147,0,0.0,89,0,0,504.47137451171875,1,Body
electronic resource publishers/vendors.,11.039999961853027,0,0,1.1,0.147,0,0.0,39,0,0,517.0679931640625,1,Body
The proposal should include the following information:,11.039999961853027,0,0,1.1,0.147,0,0.0,54,0,0,541.78662109375,1,Body
a) name of the firm/consultant,11.039999961853027,0,0,1.1,0.177,0,0.0,30,0,0,566.3837280273438,1,Body
"b) names of those individuals who will be engaged in this project, their specific",11.039999961853027,0,0,1.1,0.177,0,0.0,81,0,0,579.101806640625,1,Body
responsibilities on this project and relevant experience/qualifications,11.039999961853027,0,0,1.1,0.177,0,0.0,71,0,0,591.6984252929688,1,Body
c) description of similar engagements that highlight the firm’s experience in business,11.039999961853027,0,0,1.1,0.177,0,0.0,86,0,0,604.2950439453125,1,Body
planning and building stakeholder commitment,11.039999961853027,0,0,1.1,0.177,0,0.0,44,0,0,617.0131225585938,1,Body
d) references with details of work completed for these references,11.039999961853027,0,0,1.1,0.177,0,0.0,65,0,0,629.6097412109375,1,Body
"e) description of the approach that will be used for completing the business plan,",11.039999961853027,0,0,1.1,0.177,0,0.0,82,0,0,642.327880859375,1,Body
including a timeline,11.039999961853027,0,0,1.1,0.177,0,0.0,20,0,0,654.9244995117188,1,Body
"f) cost to complete the study including estimated expenses (i.e.: travel, etc.) and payment",11.039999961853027,0,0,1.1,0.177,0,0.0,91,0,0,667.5211181640625,1,Body
structure,11.039999961853027,0,0,1.1,0.177,0,0.0,9,0,0,680.2391967773438,1,Body
RFP: To Develop the Ontario Digital Library Business Plan,7.559999942779541,1,1,0.76,0.147,0,0.0,57,0,0,740.8800048828125,1,Body
March 2003,7.559999942779541,1,1,0.76,0.485,1,0.0,10,0,0,740.8800048828125,1,Body
7777,9.0,1,1,0.9,0.844,0,0.0,4,0,0,740.8798828125,1,Body
Evaluation and Awarding of Contract,12.0,0,0,1.2,0.157,0,0.0,35,0,0,94.20001220703125,1,H2
The contract will be awarded to the bidder whose submission offers the best value; the contract will,11.039999961853027,0,0,1.1,0.147,0,0.0,100,0,0,132.84002685546875,1,Body
not necessarily be awarded to the lowest bidder. We reserve the right not to award the contract to,11.039999961853027,0,0,1.1,0.147,0,0.0,98,0,0,145.55810546875,1,Body
any of the bidders responding to this RFP and we may seek further response.,11.039999961853027,0,0,1.1,0.147,0,0.0,75,0,0,158.15472412109375,1,Body
"Specifically, proposals will be evaluated proposals according to the following criteria:",11.039999961853027,0,0,1.1,0.147,0,0.0,88,0,0,182.7518310546875,1,Body
Quality of the proposal /approach outlined for undertaking the business planning process,11.039999961853027,0,0,1.1,0.206,0,0.0,88,0,0,220.1884765625,1,Body
Demonstrated experience,11.039999961853027,0,0,1.1,0.206,0,0.0,23,0,0,232.90655517578125,1,Body
"Cost, including expenses",11.039999961853027,0,0,1.1,0.206,0,0.0,24,0,0,245.503173828125,1,Body
Timeline and projected completion date,11.039999961853027,0,0,1.1,0.206,0,0.0,38,0,0,258.09979248046875,1,Body
Other relevant factors as determined by the ODL Steering Committee,11.039999961853027,0,0,1.1,0.206,0,0.0,66,0,0,271.30364990234375,1,Body
Questions regarding this RFP should be directed by e-mail only to Michael Ridley,11.039999961853027,0,0,1.1,0.147,0,0.0,80,0,0,296.6183776855469,1,Body
(mridley@uoguelph.ca).,11.039999961853027,0,0,1.1,0.147,0,0.0,22,0,0,309.3364562988281,1,Body
Bidders are asked not to contact any other member of the ODL Catalyst Team or the ODL Steering,11.039999961853027,0,0,1.1,0.147,0,0.0,94,0,0,334.65118408203125,1,Body
Committee.,11.039999961853027,0,0,1.1,0.147,0,0.0,10,0,0,347.2478332519531,1,Body
RFP: To Develop the Ontario Digital Library Business Plan,7.559999942779541,1,1,0.76,0.147,0,0.0,57,0,0,740.8800048828125,1,Body
March 2003,7.559999942779541,1,1,0.76,0.485,1,0.0,10,0,0,740.8800048828125,1,Body
8888,9.0,1,1,0.9,0.844,0,0.0,4,0,0,740.8798828125,1,Body
Appendix A:  ODL Envisioned Phases & Funding,12.0,0,0,1.2,0.147,0,0.0,44,0,0,120.719970703125,1,Body
Phase I:  Business Planning,9.960000038146973,1,0,1.0,0.147,0,0.0,27,0,0,148.7996826171875,1,Body
Timeline:,9.960000038146973,1,0,1.0,0.147,0,0.0,9,0,0,171.837158203125,1,H3
March 2003 – September 2003,9.960000038146973,1,1,1.0,0.219,0,0.0,27,0,0,171.837158203125,1,Body
Funding Requested:,9.960000038146973,1,0,1.0,0.147,0,0.0,18,0,0,183.3609619140625,1,Body
"~$100,000 jointly funded by stakeholder groups and the provincial government.",9.960000038146973,1,1,1.0,0.306,0,0.0,77,0,0,183.36090087890625,1,Body
Result:,9.960000038146973,1,0,1.0,0.147,0,0.0,7,0,0,206.27886962890625,1,Body
The ODL business plan,9.960000038146973,1,1,1.0,0.204,0,0.0,21,0,0,206.27886962890625,1,Body
"The first phase will be to build the ODL business plan. This plan will clearly define the ODL’s services,",9.960000038146973,0,0,1.0,0.147,0,0.0,105,0,0,229.43585205078125,1,Body
"funding and governance structures, as well as implementation plans for 2003-2005. It will also secure",9.960000038146973,0,0,1.0,0.147,0,0.0,101,0,0,240.9595947265625,1,Body
the full commitment of all stakeholders and scope the operational plan for ODL for 2006 and beyond.,9.960000038146973,0,0,1.0,0.147,0,0.0,99,0,0,252.48333740234375,1,Body
"Given the number and diversity of stakeholders involved, the business planning process must be a fully",9.960000038146973,0,0,1.0,0.147,0,0.0,102,0,0,275.40130615234375,1,Body
consultative approach. To ensure that the planning results in a workable plan with the full commitment,9.960000038146973,0,0,1.0,0.147,0,0.0,102,0,0,286.9250183105469,1,Body
"of all stakeholders it must have competent, dedicated staffing and monies for the travel and",9.960000038146973,0,0,1.0,0.147,0,0.0,92,0,0,298.44873046875,1,Body
communication components so critical in a consultative process.,9.960000038146973,0,0,1.0,0.147,0,0.0,63,0,0,309.9724426269531,1,Body
Phase II: Implementing and Transitioning,9.960000038146973,1,0,1.0,0.147,0,0.0,40,0,0,344.29461669921875,1,H3
Timeline:,9.960000038146973,1,0,1.0,0.147,0,0.0,9,0,0,367.33209228515625,1,H3
April 2004 – December 2006,9.960000038146973,1,1,1.0,0.219,0,0.0,26,0,0,367.33209228515625,1,Body
Funding Requested:,9.960000038146973,1,0,1.0,0.147,0,0.0,18,0,0,378.8558044433594,1,Body
Funding from other states and provinces suggest that the ODL could receive,9.960000038146973,1,1,1.0,0.306,0,0.0,74,0,0,378.85577392578125,1,Body
"funding of up to $50 Million (over 3 years). Funding to be provided partnership of government, library",9.960000038146973,1,1,1.0,0.147,0,0.0,102,0,0,390.3794860839844,1,Body
stakeholders and other interested parties.,9.960000038146973,1,1,1.0,0.147,0,0.0,42,0,0,401.78369140625,1,Body
Result:,9.960000038146973,1,0,1.0,0.147,0,0.0,7,0,0,424.8211669921875,1,Body
The ODL is implemented and validated,9.960000038146973,1,1,1.0,0.204,0,0.0,36,0,0,424.8211669921875,1,Body
The second phase will be to implement the ODL based on the business plan. This phase recognizes,9.960000038146973,0,0,1.0,0.147,0,0.0,95,0,0,447.9781799316406,1,Body
that for ODL to be optimally successful libraries must transition to a new way of doing business and,9.960000038146973,0,0,1.0,0.147,0,0.0,100,0,0,459.50189208984375,1,Body
providing services. The transition must occur while libraries continue to provide existing services and,9.960000038146973,0,0,1.0,0.147,0,0.0,103,0,0,470.9060974121094,1,Body
"respond to current challenges. This implementation phase will funded by a partnership of government,",9.960000038146973,0,0,1.0,0.147,0,0.0,100,0,0,482.4298095703125,1,Body
library stakeholders and other interested parties as a means to quickly jumpstart the ODL.,9.960000038146973,0,0,1.0,0.147,0,0.0,90,0,0,493.9535217285156,1,Body
The seed money requested will allow libraries to realign their budgets and services as the infrastructure,9.960000038146973,0,0,1.0,0.147,0,0.0,105,0,0,516.990966796875,1,Body
and content of the ODL is created and secured.,9.960000038146973,0,0,1.0,0.147,0,0.0,46,0,0,528.3952026367188,1,Body
"Some of the funding will be new money, although there",9.960000038146973,1,1,1.0,0.476,1,0.0,53,0,0,528.3952026367188,1,Body
is every indication that existing budgets and methods of operating may be modified as a result of,9.960000038146973,1,1,1.0,0.147,0,0.0,97,0,0,539.7994384765625,1,Body
recommendations,9.960000038146973,1,1,1.0,0.147,0,0.0,15,0,0,551.3231201171875,1,Body
". During this phase the polices, procedures, governance structures and accountability",9.960000038146973,0,0,1.0,0.271,0,0.0,85,0,0,551.3231201171875,1,Body
"mechanisms of the ODL will be put in place. Pilot projects will be initiated, evaluated and expanded.",9.960000038146973,0,0,1.0,0.147,0,0.0,101,0,0,562.9663696289062,1,Body
"Information resources will be identified, contracts for these resources will be negotiated and resources",9.960000038146973,0,0,1.0,0.147,0,0.0,104,0,0,574.4901123046875,1,Body
will be made deployed through the ODL. Regular evaluation during this phase will ensure the ODL is,9.960000038146973,0,0,1.0,0.147,0,0.0,98,0,0,586.0137939453125,1,Body
achieving its objectives and is accountable to its key communities.,9.960000038146973,0,0,1.0,0.147,0,0.0,67,0,0,597.5374755859375,1,Body
Phase III: Operating and Growing the ODL,9.960000038146973,1,0,1.0,0.147,0,0.0,40,0,0,620.3359375,1,H3
Timeline:,9.960000038146973,1,0,1.0,0.147,0,0.0,9,0,0,643.3734130859375,1,H3
January 2007 -,9.960000038146973,1,1,1.0,0.219,0,0.0,14,0,0,643.3734130859375,1,Body
Funding:,9.960000038146973,1,0,1.0,0.147,0,0.0,8,0,0,654.8971557617188,1,Body
$50 Million annually ($35 Million requested from government),9.960000038146973,1,1,1.0,0.218,0,0.0,60,0,0,654.8971557617188,1,Body
Result:,9.960000038146973,1,0,1.0,0.147,0,0.0,7,0,0,677.815185546875,1,Body
The ODL is fully operational and sustainable,9.960000038146973,1,1,1.0,0.204,0,0.0,44,0,0,677.815185546875,1,Body
In the third phase the ODL moves into the operational stage. Ontarians will experience the full benefits,9.960000038146973,0,0,1.0,0.147,0,0.0,104,0,0,700.9721069335938,1,Body
of the initiative and libraries will consolidate support around the ODL to grow resources and extend,9.960000038146973,0,0,1.0,0.147,0,0.0,100,0,0,712.495849609375,1,Body
RFP: To Develop the Ontario Digital Library Business Plan,7.559999942779541,1,1,0.76,0.147,0,0.0,57,0,0,740.8800048828125,1,Body
March 2003,7.559999942779541,1,1,0.76,0.485,1,0.0,10,0,0,740.8800048828125,1,Body
9999,9.0,1,1,0.9,0.844,0,0.0,4,0,0,740.8798828125,1,Body
capabilities. The challenge is to secure resources sufficient to both sustain the original investments and,9.960000038146973,0,0,1.0,0.147,0,0.0,106,0,0,81.239990234375,1,Body
to enhance the ODL.,9.960000038146973,0,0,1.0,0.147,0,0.0,19,0,0,92.76373291015625,1,Body
The ongoing funding of the ODL will be based on a partnership model involving all the key participants,9.960000038146973,0,0,1.0,0.147,0,0.0,102,0,0,115.68170166015625,1,Body
"(i.e. government, libraries, donors, public and private sectors). All participants (i.e. beneficiaries) are",9.960000038146973,0,0,1.0,0.147,0,0.0,107,0,0,127.2054443359375,1,Body
expected to make financial contributions to the ODL. It is important in achieving the full impact of the,9.960000038146973,0,0,1.0,0.147,0,0.0,104,0,0,138.72918701171875,1,Body
"ODL on Ontario’s economy, society and learning support that all library sectors are participants",9.960000038146973,0,0,1.0,0.147,0,0.0,96,0,0,150.2529296875,1,Body
"(university, colleges, public libraries and schools).",9.960000038146973,0,0,1.0,0.147,0,0.0,53,0,0,161.77667236328125,1,Body
"The proposed funding model requires a continuing government investment, but also recognizes that as",9.960000038146973,0,0,1.0,0.147,0,0.0,99,0,0,179.29632568359375,1,Body
the ODL matures a growing share of ODL funding will come from libraries and non-governmental,9.960000038146973,0,0,1.0,0.147,0,0.0,92,0,0,190.70037841796875,1,Body
sources. During the 3-year implementation phase (2004 – 2006) libraries will realign their budgets to,9.960000038146973,0,0,1.0,0.147,0,0.0,101,0,0,202.22412109375,1,Body
enable ongoing funding contributions to ODL. During the same period ODL must build the proposed,9.960000038146973,0,0,1.0,0.147,0,0.0,95,0,0,213.74786376953125,1,Body
endowment and secure public and private sector gifts and/or in-kind contributions. The following chart,9.960000038146973,0,0,1.0,0.147,0,0.0,102,0,0,225.2716064453125,1,Body
outlines the model. This model is based on these assumptions:,9.960000038146973,0,0,1.0,0.147,0,0.0,61,0,0,236.79534912109375,1,Body
1. that ODL expenditures will increase by 50% over a 10 year period,9.960000038146973,0,0,1.0,0.177,0,0.0,67,0,1,254.31500244140625,1,Body
2. that government funding will decrease from 70% to 45% during that 10 year period,9.960000038146973,0,0,1.0,0.177,0,0.0,83,0,1,271.71514892578125,1,Body
"3. that library contributions, endowment and gifts/in-kind funding will increase from 30% to 55%",9.960000038146973,0,0,1.0,0.177,0,0.0,96,0,1,289.23480224609375,1,Body
during the same period,9.960000038146973,0,0,1.0,0.206,0,0.0,22,0,0,300.7585144042969,1,Body
OVERVIEW OF ODL FUNDING MODEL,9.960000038146973,1,0,1.0,0.402,0,0.0,29,1,0,329.6823425292969,1,Body
Funding Source,12.0,1,0,1.2,0.187,0,0.0,14,0,0,354.9599914550781,1,Body
2007,12.0,1,0,1.2,0.512,1,0.0,4,0,0,354.9599914550781,1,Body
2017,12.0,1,0,1.2,0.699,0,0.0,4,0,0,354.9599914550781,1,Body
Government,9.960000038146973,0,0,1.0,0.187,0,0.0,10,0,0,367.44000244140625,1,Body
$35M (70%),9.960000038146973,0,0,1.0,0.491,1,0.0,10,1,0,367.44000244140625,1,Body
$33.75M (45%),9.960000038146973,0,0,1.0,0.667,0,0.0,13,1,0,367.44000244140625,1,Body
Libraries,9.960000038146973,0,0,1.0,0.187,0,0.0,9,0,0,379.4418029785156,1,Body
$10M (20%),9.960000038146973,0,0,1.0,0.491,1,0.0,10,1,0,379.4418029785156,1,Body
$22.5M (30%),9.960000038146973,0,0,1.0,0.671,0,0.0,12,1,0,379.4418029785156,1,Body
Endowment,9.960000038146973,0,0,1.0,0.187,0,0.0,9,0,0,391.443603515625,1,Body
$4.5M (9%),9.960000038146973,0,0,1.0,0.493,1,0.0,10,1,0,391.443603515625,1,Body
$15M (20%),9.960000038146973,0,0,1.0,0.678,0,0.0,10,1,0,391.443603515625,1,Body
Gifts/In-Kind,9.960000038146973,0,0,1.0,0.187,0,0.0,13,0,0,403.4454040527344,1,Body
$0.5M (1%),9.960000038146973,0,0,1.0,0.493,1,0.0,10,1,0,403.4454040527344,1,Body
$3.75M (5%),9.960000038146973,0,0,1.0,0.675,0,0.0,11,1,0,403.4454040527344,1,Body
TOTAL ANNUAL,9.960000038146973,1,0,1.0,0.187,0,0.0,12,1,0,415.32769775390625,1,Body
$50M,9.960000038146973,0,0,1.0,0.514,1,0.0,4,1,0,415.44720458984375,1,Body
$75M,9.960000038146973,0,0,1.0,0.7,0,0.0,4,1,0,415.44720458984375,1,Body
"While the private sector will be invited to participate in the ODL through the endowment, gifts and in-",9.960000038146973,0,0,1.0,0.147,0,0.0,103,0,0,450.4864807128906,1,Body
"kind contributions, the ODL will also explore compatible commercial services which leverage the reach",9.960000038146973,0,0,1.0,0.147,0,0.0,101,0,0,462.01019287109375,1,Body
of the ODL and help to offset operating costs.,9.960000038146973,0,0,1.0,0.147,0,0.0,46,0,0,473.5339050292969,1,Body
A $50M budget leverages the consortium buying power of the province’s libraries to secure the best,9.960000038146973,0,0,1.0,0.147,0,0.0,98,0,0,496.5713806152344,1,Body
"prices for information resources, the widest accessibility and the most favourable contracts. A budget of",9.960000038146973,0,0,1.0,0.147,0,0.0,105,0,0,507.9755859375,1,Body
this nature will ensure a core digital collection of sufficient scope and coverage to address a substantial,9.960000038146973,0,0,1.0,0.147,0,0.0,107,0,0,519.499267578125,1,Body
amount of the wide and diverse information and learning needs of the citizens of Ontario (an overview,9.960000038146973,0,0,1.0,0.147,0,0.0,101,0,0,531.0230102539062,1,Body
of the nature of the ODL digital collection is appended).,9.960000038146973,0,0,1.0,0.147,0,0.0,57,0,0,542.5467529296875,1,Body
The proposed ODL expenditures in 2006,9.960000038146973,1,1,1.0,0.527,1,0.0,37,0,0,542.5467529296875,1,Body
represent an investment of $5.00 per citizen.,9.960000038146973,1,1,1.0,0.147,0,0.0,45,0,0,554.0704345703125,1,Body
It is important to recognize that every new dollar per citizen invested in the Ontario Digital Library has a,9.960000038146973,0,0,1.0,0.147,0,0.0,108,0,0,576.9884033203125,1,Body
double benefit: it supports a province-wide library of high quality information resources and it,9.960000038146973,0,0,1.0,0.147,0,0.0,96,0,0,588.5120849609375,1,Body
strengthens every local library in Ontario by allowing them to reinvest existing dollars in new resources,9.960000038146973,0,0,1.0,0.147,0,0.0,105,0,0,600.0358276367188,1,Body
that enhance local services.,9.960000038146973,0,0,1.0,0.147,0,0.0,28,0,0,611.5595703125,1,Body
This multiplier means that for every dollar invested in ODL the return,9.960000038146973,1,1,1.0,0.341,0,0.0,70,0,0,611.5595703125,1,Body
on investment is worth $2 of value for Ontario.,9.960000038146973,1,1,1.0,0.147,0,0.0,47,0,0,623.083251953125,1,Body
RFP: To Develop the Ontario Digital Library Business Plan,7.559999942779541,1,1,0.76,0.147,0,0.0,57,0,0,740.8800048828125,1,Body
March 2003,7.559999942779541,1,1,0.76,0.485,1,0.0,10,0,0,740.8800048828125,1,Body
10,9.0,1,1,0.9,0.835,0,0.0,2,0,0,740.8798828125,1,Body
10,9.0,1,1,0.9,0.835,0,0.0,2,0,0,741.1229248046875,1,Body
10,9.0,1,1,0.9,0.835,0,0.0,2,0,0,741.1229248046875,1,Body
10,9.0,1,1,0.9,0.835,0,0.0,2,0,0,740.8798828125,1,Body
Appendix B:,12.0,0,0,1.2,0.157,0,0.0,11,0,0,105.719970703125,1,Body
ODL Steering Committee Terms of Reference,12.0,0,0,1.2,0.324,0,0.0,41,0,0,105.719970703125,1,Body
1. Preamble,9.960000038146973,1,0,1.0,0.147,0,0.0,11,0,1,145.7996826171875,1,H3
Implementation of the Ontario Digital Library (ODL) requires a detailed business plan to be developed,9.960000038146973,0,0,1.0,0.157,0,0.0,101,0,0,168.9566650390625,1,Body
and supported by its diverse stakeholder communities (see:,9.960000038146973,0,0,1.0,0.157,0,0.0,58,0,0,180.36083984375,1,Body
www.odl.on.ca,9.960000038146973,0,0,1.0,0.568,0,0.0,13,0,0,180.36083984375,1,Body
).  The business,9.960000038146973,0,0,1.0,0.668,0,0.0,16,0,0,180.36083984375,1,Body
"development planning and commitment process will be overseen by a Steering Committee, who are",9.960000038146973,0,0,1.0,0.157,0,0.0,93,0,0,191.88458251953125,1,Body
accountable to potential ODL funders including  the Province of Ontario.,9.960000038146973,0,0,1.0,0.157,0,0.0,72,0,0,203.4083251953125,1,Body
2. Terms of Reference,9.960000038146973,1,0,1.0,0.147,0,0.0,21,0,1,226.3262939453125,1,H3
"In broad terms, the ODL Business Plan Steering Committee is responsible for development of the",9.960000038146973,0,0,1.0,0.157,0,0.0,94,0,0,249.36376953125,1,Body
"business plan, securing sector support, and management of the planners and process.  Specific",9.960000038146973,0,0,1.0,0.157,0,0.0,93,0,0,260.88751220703125,1,Body
responsibilities include:,9.960000038146973,0,0,1.0,0.157,0,0.0,25,0,0,272.4112548828125,1,Body
"2.1 developing a detailed business plan for the three-year implementation phase of the ODL, including",9.960000038146973,0,0,1.0,0.157,0,0.0,101,0,1,295.44873046875,1,Body
"governance, management, funding model and structure, organizational structure, marketing,",9.960000038146973,0,0,1.0,0.215,0,0.0,89,0,0,306.8529357910156,1,Body
"staffing, and evaluation;",9.960000038146973,0,0,1.0,0.215,0,0.0,25,0,0,318.37664794921875,1,Body
"2.2 consulting with and reporting to stakeholder communities, to ensure open, consistent and two-way",9.960000038146973,0,0,1.0,0.157,0,0.0,100,0,1,329.9003601074219,1,Body
"communication, and to ensure meaningful opportunities for stakeholder input into decision-",9.960000038146973,0,0,1.0,0.215,0,0.0,90,0,0,341.424072265625,1,Body
making;,9.960000038146973,0,0,1.0,0.215,0,0.0,7,0,0,352.9477844238281,1,Body
2.3 recruiting and managing the business planner(s);,9.960000038146973,0,0,1.0,0.157,0,0.0,52,0,1,364.47149658203125,1,Body
"2.4 defining terms of reference and resource parameters for business planner(s), and authorizing",9.960000038146973,0,0,1.0,0.157,0,0.0,96,0,1,375.8757019042969,1,Body
expenditures;,9.960000038146973,0,0,1.0,0.215,0,0.0,13,0,0,387.3994140625,1,Body
2.5 serving as a focus group for business planner(s) to test ideas;,9.960000038146973,0,0,1.0,0.157,0,0.0,67,0,1,398.9231262207031,1,Body
2.6 providing signoff for business planner(s) at key decision points of business plan development;,9.960000038146973,0,0,1.0,0.157,0,0.0,98,0,1,410.44683837890625,1,Body
"2.7 securing commitment from library, government, and institutional stakeholders for implementation",9.960000038146973,0,0,1.0,0.157,0,0.0,99,0,1,421.9705505371094,1,Body
of the business plan;,9.960000038146973,0,0,1.0,0.215,0,0.0,21,0,0,433.4942626953125,1,Body
2.8 presenting the business plan to funders,9.960000038146973,0,0,1.0,0.157,0,0.0,43,0,1,444.8984680175781,1,Body
2.9 undertaking advocacy efforts to promote the ODL to the broader communities including library,9.960000038146973,0,0,1.0,0.157,0,0.0,96,0,1,456.42218017578125,1,Body
and education communities.,9.960000038146973,0,0,1.0,0.215,0,0.0,26,0,0,467.9458923339844,1,Body
3. Membership,9.960000038146973,1,0,1.0,0.147,0,0.0,13,0,1,490.8638610839844,1,H3
"Each of the four sectors, Schools, Colleges, Universities, and Public Libraries can appoint up to two",9.960000038146973,0,0,1.0,0.157,0,0.0,101,0,0,513.9013671875,1,Body
representatives to the steering committee,9.960000038146973,0,0,1.0,0.157,0,0.0,41,0,0,525.425048828125,1,Body
3.1 Schools:,9.960000038146973,0,0,1.0,0.157,0,0.0,12,0,1,548.4625244140625,1,Body
- Ontario School Library Association (OSLA) and The Association of Library Consultants and,9.960000038146973,0,0,1.0,0.206,0,0.0,90,0,0,559.9862060546875,1,Body
Coordinators of Ontario (TALCO)  (,9.960000038146973,0,0,1.0,0.206,0,0.0,34,0,0,571.2709350585938,1,Body
Executive Council of OSLA to name representative in,9.960000038146973,1,1,1.0,0.447,0,0.0,51,0,0,571.2709350585938,1,Body
consultation with TALCO,9.960000038146973,1,1,1.0,0.206,0,0.0,23,0,0,582.794677734375,1,Body
),9.960000038146973,0,0,1.0,0.376,0,0.0,1,0,0,582.794677734375,1,Body
3.2 Universities:,9.960000038146973,0,0,1.0,0.157,0,0.0,17,0,1,594.4378662109375,1,Body
- Ontario Council of University Libraries (OCUL) (,9.960000038146973,0,0,1.0,0.206,0,0.0,50,0,0,605.8421020507812,1,Body
OCUL to name,9.960000038146973,1,1,1.0,0.541,1,0.0,12,0,0,605.8421020507812,1,Body
),9.960000038146973,0,0,1.0,0.644,0,0.0,1,0,0,605.8421020507812,1,Body
3.3 Colleges:,9.960000038146973,0,0,1.0,0.157,0,0.0,13,0,1,617.4853515625,1,Body
"- Bibliocentre, and Heads of Libraries and Learning Resources (UAG and HLLR",9.960000038146973,0,0,1.0,0.206,0,0.0,75,0,0,628.8895263671875,1,Body
to name,9.960000038146973,1,1,1.0,0.754,0,0.0,7,0,0,628.8895263671875,1,Body
),9.960000038146973,0,0,1.0,0.815,0,0.0,1,0,0,628.8895263671875,1,Body
3.4 Public libraries:,9.960000038146973,0,0,1.0,0.156,0,0.0,21,0,1,640.4132080078125,1,Body
"- Administrators of Medium-sized Public Libraries of Ontario (AMPLO), Administrators of Rural",9.960000038146973,0,0,1.0,0.206,0,0.0,93,0,0,651.9369506835938,1,Body
"Urban Public Libraries of Ontario (ARUPLO), Administrators of Small Public Libraries of",9.960000038146973,0,0,1.0,0.206,0,0.0,87,0,0,663.460693359375,1,Body
Ontario (ASPLO) and Chief Executives of Large-sized Public Libraries of Ontario (CELPLO),9.960000038146973,0,0,1.0,0.206,0,0.0,88,0,0,674.984375,1,Body
(,9.960000038146973,0,0,1.0,0.206,0,0.0,1,0,0,686.3885498046875,1,Body
